,Unnamed: 0,POINT_ID,CURRENT,FORCE,TH_ORDER,TH1,TH2,TH3,1,10,r_max_time,r_max,slope_exp,intercept_exp,assesment_txt,OK,anomaly,gap,shunt
85,85,570245,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,494,260,34.0,132.0,-0.0399919271091379,6.24252744429706,OK,1,0,0,0
86,86,570246,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,494,263,35.0,134.0,-0.0383734034481474,6.240908920636071,OK,1,0,0,0
87,87,570247,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,493,261,36.0,134.0,-0.0372191249740508,6.237728299016741,OK,1,0,0,0
88,88,570249,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,435,202,81.0,105.0,-0.0177673210116395,6.093113352100324,OK,1,0,0,0
89,89,170567,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,452,215,99.0,111.0,-0.0143280814134683,6.1280102612457,OK,1,0,0,0
90,90,170569,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,461,232,80.0,119.0,-0.0171427158213306,6.15054075881798,OK,1,0,0,0
91,91,170571,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,473,251,113.0,124.0,-0.0119536948472044,6.171049083339137,OK,1,0,0,0
92,92,170573,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,491,257,100.0,127.0,-0.0136591620336962,6.210103289828217,OK,1,0,0,0
93,93,170575,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,485,252,33.0,128.0,-0.0416287070943083,6.225777598031792,OK,1,0,0,0
94,94,170577,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,486,255,96.0,128.0,-0.0140439827366408,6.200252606637134,OK,1,0,0,0
95,95,170579,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,495,264,111.0,129.0,-0.0122249578018819,6.216782720370572,OK,1,0,0,0
96,96,170581,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,502,264,34.0,130.0,-0.0409413839162468,6.259541503607975,OK,1,0,0,0
97,97,170622,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,479,272,38.0,131.0,-0.0350406290326963,6.206741226443612,OK,1,0,0,0
98,98,170624,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,479,261,101.0,130.0,-0.0130416614695533,6.184742258880468,OK,1,0,0,0
99,99,170626,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,474,266,56.0,132.0,-0.0232437345292492,6.184451056224326,OK,1,0,0,0
100,100,170628,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,487,269,33.0,139.0,-0.0391809434359968,6.2274450665185865,OK,1,0,0,0
101,101,170630,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,511,271,34.0,135.0,-0.0403362064171295,6.276705796620834,OK,1,0,0,0
102,102,170632,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,497,266,33.0,134.0,-0.0409609445670536,6.249550970663683,OK,1,0,0,0
103,103,170634,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,508,265,32.0,130.0,-0.0439660321652548,6.274447479743737,OK,1,0,0,0
104,104,170636,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,501,267,32.0,133.0,-0.0427824829955842,6.259388584080448,OK,1,0,0,0
105,105,170638,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,506,265,33.0,138.0,-0.0406025932540706,6.267139262541536,OK,1,0,0,0
106,106,135507,8.6,2.2,0.7 + 1 + 1,0.7,1.0,1.0,490,248,136.0,116.0,-0.0106727051851726,6.205078096289845,OK,1,0,0,0
107,107,135187,8.6,2.2,0.7 + 1 + 1.2,0.7,1.0,1.2,77,86,115.0,109.0,0.0030486180734689,4.340756803780216,OK,1,0,0,0
108,108,135202,8.4,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,79,88,109.0,116.0,0.0035568735059198,4.365890978961102,anomaly,0,1,0,0
109,109,235645,8.8,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,106,109,84.0,121.0,0.0015945958010201,4.661844498311047,OK,1,0,0,0
110,110,527568,8.4,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,162,99,48.0,113.0,-0.0076640109897881,5.095260346222172,OK,1,0,0,0
